Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2011 AZ36,Amor Asteroid,55574,2.0036,0.4659,1.2547,212.6387,242.2357,5.761,1.07,2.94,2.84,0.0872,4,25.1,2026,2114,144,3E-07,7.4,0.032,-6.78,-8.11,0
2007 KE4,Amor Asteroid,54245,2.4075,0.5761,9.3932,194.4424,65.1023,356.3315,1.0205,3.79,3.74,0.0168,7,25.2,2026,2115,4,3E-06,10.09,0.031,-5.24,-5.33,0
2010 XB,Apollo Asteroid,57800,1.7963,0.6579,1.4945,92.4254,248.6122,228.6178,0.6145,2.98,2.41,0.0002,6,29.6,2027,2029,2,2.5E-07,19.67,0.004,-8,-8.25,0
1998 DK36,Apohele Asteroid,50868,0.6923,0.416,2.0172,180.0423,151.4621,183.2529,0.4043,0.98,0.58,0.0084,11,25,2027,2100,17,5.6E-07,6.19,0.034,-6.45,-6.48,0
2013 JA17,Amor Asteroid,56422,1.9062,0.3296,3.3557,309.7665,65.6279,240.166,1.2779,2.53,2.63,0.2818,4,19.1,2027,2111,7,5.5E-09,9.72,0.51,-5.26,-5.37,0
2008 JL3,Apollo Asteroid,57800,2.1597,0.5447,0.8985,155.5729,40.2518,284.14,0.9833,3.34,3.17,0.001,8,25.3,2027,2113,22,8.5E-05,8.42,0.029,-3.72,-3.73,0
2010 WC9,Apollo Asteroid,55533,1.079,0.2786,17.989,273.4772,54.6885,66.1759,0.7783,1.38,1.12,0.0001,9,23.4,2027,2115,16,4.5E-06,12.69,0.07,-4.01,-4.03,0
2016 VZ17,Apollo Asteroid,57697,1.9311,0.519,0.9313,351.6976,11.1706,11.5529,0.9289,2.93,2.68,0.0074,3,27.3,2027,2116,141,1.1E-06,9.71,0.012,-7.06,-7.89,0
2011 YC40,Apollo Asteroid,55925,1.4373,0.4204,6.437,298.6025,96.1345,26.5048,0.8331,2.04,1.72,0.0005,3,29.7,2028,2050,6,1.4E-06,10.94,0.004,-7.69,-7.84,0
2014 HE197,Apollo Asteroid,56771,2.1171,0.5779,3.1705,102.3788,185.3751,339.9119,0.8937,3.34,3.08,0.0283,2,25.5,2028,2098,28,7.5E-09,16.56,0.026,-8.15,-9.13,0
2013 GM3,Aten Asteroid,57800,0.8356,0.2868,0.0147,24.3375,325.0793,243.8173,0.5959,1.08,0.76,0.0001,17,26.2,2028,2114,159,0.00015,7.14,0.019,-4.61,-5.32,0
2016 DA31,Apollo Asteroid,57447,1.2664,0.4471,0.0226,267.9916,339.456,321.0434,0.7002,1.83,1.43,0,4,29.9,2028,2116,184,0.00013,13.6,0.004,-6.1,-6.61,0
2010 RK53,Apollo Asteroid,57800,1.3469,0.3136,6.0927,310.9909,346.0916,68.8928,0.9246,1.77,1.56,0.0005,6,27.8,2029,2029,1,1.8E-08,8.23,0.009,-8.65,-8.65,0
2017 BL30,Apollo Asteroid,57800,1.1333,0.2385,2.8624,283.046,311.3443,297.4347,0.863,1.4,1.21,0.0001,13,23.3,2029,2052,9,0.00038,7.16,0.073,-2.17,-2.17,0
2005 UL6,Apollo Asteroid,57800,2.5234,0.6187,0.2814,90.2101,266.2089,298.9532,0.9622,4.08,4.01,0.0043,15,24.5,2029,2072,5,4.2E-07,12.02,0.042,-6.15,-6.51,0
2015 DQ224,Aten Asteroid,57072,0.7794,0.5268,11.0373,215.009,149.0516,95.9893,0.3688,1.19,0.69,0.0007,2,29.4,2029,2089,91,6.8E-05,14.59,0.005,-5.98,-6.73,0
2005 WG57,Apollo Asteroid,57800,1.7966,0.4925,0.4264,212.348,161.6013,253.4537,0.9117,2.68,2.41,0.0017,18,23.6,2029,2105,6,5.5E-07,9.88,0.063,-5.76,-6.18,0
2011 BA60,Apollo Asteroid,55591,1.7657,0.4946,10.1146,33.0623,120.4008,349.6946,0.8923,2.64,2.35,0.0263,5,22,2029,2106,14,8.7E-09,14.69,0.137,-6.17,-6.43,0
2010 MZ112,Apollo Asteroid,55371,1.7733,0.7253,30.1838,49.6766,317.4553,332.0346,0.4871,3.06,2.36,0.2214,6,25.5,2029,2110,186,8.6E-06,1.54,0.028,-5.25,-6.43,0
2016 PA79,Amor Asteroid,57609,2.52,0.5336,1.1503,330.7812,358.1385,358.45,1.1753,3.86,4,0.1641,1,24.2,2029,2116,13,1.4E-08,10.42,0.05,-7.5,-8.11,0
2005 QK76,Apollo Asteroid,53613,1.3968,0.5173,22.8559,266.0974,337.5896,36.2419,0.6743,2.12,1.65,0.0019,7,25.2,2030,2083,7,7.7E-05,19.66,0.031,-3.54,-3.72,0
2008 CT1,Aten Asteroid,54500,0.8907,0.456,0.3707,126.2163,138.0967,280.2797,0.4845,1.3,0.84,0.0003,5,27.6,2030,2115,163,5E-05,13.67,0.01,-5.62,-6.08,0
2016 VF18,Apollo Asteroid,57703,2.7794,0.6811,0.766,136.3419,229.7234,6.4329,0.8863,4.67,4.63,0.0004,1,29.8,2031,2082,7,7.7E-06,10.09,0.004,-7.53,-7.57,0
2008 WJ14,Amor Asteroid,54791,3.8259,0.7268,10.9835,178.8682,237.3263,0.2857,1.0454,6.61,7.48,0.0572,5,26.6,2031,2087,7,4E-09,10.58,0.017,-8.94,-9.4,0
2006 DM63,Aten Asteroid,53794,0.6954,0.4978,1.7827,17.4258,336.4302,140.2426,0.3493,1.04,0.58,0.0007,6,26.7,2031,2088,22,0.00012,10.37,0.015,-4.39,-4.67,0
2005 TH50,Aten Asteroid,53654,0.8378,0.2249,0.7303,18.1668,196.8354,153.6983,0.6494,1.03,0.77,0.0014,8,28,2031,2101,25,2.7E-05,4.88,0.009,-6.04,-6.4,0
2012 VJ38,Apollo Asteroid,57800,1.3587,0.2862,0.3867,24.4241,52.4579,234.2195,0.9699,1.75,1.58,0.0001,6,28.5,2031,2110,16,0.00011,4.45,0.007,-5.95,-6.03,0
2011 BP40,Apollo Asteroid,57800,1.1207,0.1513,0.9128,236.3349,164.6932,108.4072,0.9511,1.29,1.19,0.0006,5,25.4,2031,2111,21,1.7E-07,3.39,0.028,-7.03,-7.57,0
2011 ES4,Apollo Asteroid,57800,1.0912,0.2433,3.3844,273.5004,339.9086,17.471,0.8257,1.36,1.14,0.0008,6,25.7,2031,2112,48,2.9E-05,7.75,0.025,-5.01,-5.39,0
2007 UO6,Apollo Asteroid,54395,2.2815,0.6008,2.3984,320.1183,23.6334,9.7138,0.9108,3.65,3.45,0.0002,5,27.3,2031,2113,11,2.3E-05,11.68,0.011,-5.39,-5.65,0
2009 WR52,Apollo Asteroid,57800,1.0336,0.1552,4.2419,269.9151,61.0198,29.7154,0.8732,1.19,1.05,0.0015,9,28.3,2031,2113,51,0.00011,5.42,0.007,-5.75,-6.03,0
2012 SY49,Apollo Asteroid,57800,1.5278,0.5569,1.195,84.1813,6.0744,89.2914,0.677,2.38,1.89,0.0001,5,25.8,2031,2114,19,1.5E-05,15.65,0.023,-5.01,-5.27,0
2011 CF22,Apollo Asteroid,55599,1.9554,0.6751,1.0694,275.8297,138.0895,16.6822,0.6354,3.28,2.73,0.0003,5,30.9,2031,2115,171,5.4E-05,18.81,0.002,-6.91,-7.73,0
2010 UE,Apollo Asteroid,55486,2.5395,0.6945,3.044,297.1342,22.9239,9.8508,0.7758,4.3,4.05,0.0002,5,29.6,2032,2044,2,1.1E-07,16.09,0.004,-8.66,-8.86,0
2017 AF21,Amor Asteroid,57758,1.8118,0.3785,2.4579,235.5893,209.1982,9.5896,1.1261,2.5,2.44,0.1464,1,25.1,2032,2108,12,1.9E-08,8.2,0.033,-7.73,-8.36,0
2009 XR1,Apollo Asteroid,55176,1.6363,0.4101,0.4737,208.4988,258.0003,349.0611,0.9652,2.31,2.09,0.001,5,29.3,2032,2110,13,1.7E-07,6.01,0.005,-8.85,-9.27,0
2011 EB74,Aten Asteroid,55635,0.9328,0.1761,10.5724,300.8559,355.9957,255.1962,0.7685,1.1,0.9,0.0009,4,26.9,2032,2115,328,0.00032,7.55,0.014,-4.51,-5.45,0
2015 BY3,Apollo Asteroid,57800,1.4186,0.5525,2.9101,92.6956,289.0574,116.7628,0.6349,2.2,1.69,0.0004,3,27.5,2033,2080,7,8E-07,16.56,0.011,-7.01,-7.47,0
2001 BA16,Aten Asteroid,57800,0.9403,0.1378,5.7738,243.2928,115.4558,332.8939,0.8108,1.07,0.91,0.0001,18,25.8,2033,2111,6,9.8E-06,4.9,0.023,-5.33,-5.38,0
2010 MA113,Apollo Asteroid,55373,2.2875,0.61,39.8528,26.9273,309.5147,346.8525,0.8921,3.68,3.46,0.0815,6,23.4,2033,2114,469,5.2E-06,3.06,0.078,-4.47,-5.35,0
2011 CU46,Apollo Asteroid,55604,1.409,0.5363,8.0792,269.8413,140.154,32.8562,0.6533,2.16,1.67,0.0027,4,25.4,2033,2115,420,1.8E-05,16.18,0.028,-4.91,-5.96,0
2011 YC63,Apollo Asteroid,55927,1.533,0.5965,10.4106,269.9756,98.2911,26.7513,0.6185,2.45,1.9,0.0012,3,29,2034,2039,2,2.9E-06,18.84,0.005,-6.83,-6.83,0
2015 BW516,Apollo Asteroid,57044,2.0168,0.5552,1.9345,222.1201,311.0456,346.2146,0.8971,3.14,2.86,0.0003,2,27.7,2034,2081,8,4.3E-05,11.41,0.01,-5.54,-5.66,0
2014 FE,Apollo Asteroid,56738,1.9139,0.688,2.194,88.6749,359.315,19.1311,0.5972,3.23,2.65,0.0006,6,27.6,2034,2081,11,3.1E-06,19.86,0.01,-6.31,-6.54,0
2008 CC71,Apollo Asteroid,54509,1.4544,0.3692,1.8761,222.2944,339.2336,333.5612,0.9175,1.99,1.75,0.0006,10,24.9,2034,2082,23,0.00012,8.1,0.036,-3.95,-4.01,0
2010 VQ,Aten Asteroid,57800,0.8606,0.1978,0.3591,198.4378,29.242,119.2864,0.6904,1.03,0.8,0.0013,11,27.7,2034,2114,56,0.00013,4.58,0.01,-5.24,-5.69,0
2011 AZ22,Apollo Asteroid,55573,2.0473,0.5752,7.3681,311.9767,109.6979,12.0801,0.8696,3.23,2.93,0.0022,4,28.6,2034,2114,9,9.3E-07,12.52,0.006,-7.58,-7.7,0
2011 SR52,Amor Asteroid,55829,2.842,0.56,10.6543,329.4761,189.1797,261.9327,1.2506,4.43,4.79,0.2726,2,15.6,2034,2115,4,7.6E-10,13.55,2.579,-4.35,-4.59,0
2010 KV7,Apollo Asteroid,55334,1.2142,0.2187,0.3146,36.8577,255.9256,321.7046,0.9487,1.48,1.34,0.0013,5,26,2034,2115,56,3.9E-05,5.37,0.021,-4.96,-5.32,0
2012 VE77,Apollo Asteroid,56246,1.6382,0.5543,8.0964,254.0806,235.4323,336.5446,0.7302,2.55,2.1,0.001,5,26.4,2035,2035,1,2.4E-06,15.28,0.018,-5.77,-5.77,0
2004 XB45,Apollo Asteroid,57800,1.5507,0.5819,3.1638,86.1144,84.925,81.4601,0.6483,2.45,1.93,0.0003,8,26.3,2035,2035,1,3.9E-07,17.02,0.019,-6.48,-6.48,0
2016 AQ164,Apollo Asteroid,57400,1.9164,0.5776,5.2977,120.7086,289.9027,15.6547,0.8095,3.02,2.65,0.0007,2,29.9,2035,2035,1,8.2E-08,13.9,0.004,-8.94,-8.94,0
2016 EO28,Apollo Asteroid,57800,1.2885,0.3061,2.4322,305.4467,159.4895,267.4774,0.8941,1.68,1.46,0.0002,11,29.1,2035,2058,18,0.00051,6.98,0.005,-4.99,-5.02,0
2014 MR67,Apollo Asteroid,56837,1.1887,0.2028,25.1489,277.1054,89.0066,285.4788,0.9477,1.43,1.3,0.1136,2,23.7,2035,2076,2,6.9E-10,9.72,0.062,-8.3,-8.35,0
2016 NJ56,Amor Asteroid,57576,1.2642,0.1464,3.2397,8.7203,251.7819,15.4888,1.0791,1.45,1.42,0.0641,2,25.1,2035,2079,10,5.5E-08,4.94,0.033,-7.16,-7.3,0
2007 DX40,Apollo Asteroid,57800,1.5361,0.538,0.446,276.9426,326.6533,56.6252,0.7096,2.36,1.9,0.0002,8,24.6,2035,2114,34,3.9E-05,15.55,0.041,-4.08,-4.61,0
2005 UA1,Apollo Asteroid,57800,2.1216,0.6143,0.4312,72.7093,256.1439,253.2254,0.8183,3.42,3.09,0.0016,9,26.4,2036,2036,1,6.4E-08,14.68,0.018,-7.38,-7.38,0
2006 DO62,Apollo Asteroid,53790,1.8777,0.5002,1.4279,215.5606,334.904,349.3485,0.9385,2.82,2.57,0.0013,5,28.3,2036,2079,11,1.8E-06,11.01,0.007,-7.32,-7.67,0
2016 DY30,Apollo Asteroid,57800,1.1176,0.5107,0.7428,250.6849,156.848,345.6758,0.5468,1.69,1.18,0.0001,2,30.5,2036,2105,6,3.2E-07,15.64,0.003,-9.13,-9.23,0
2006 WV29,Apollo Asteroid,54063,1.3809,0.5593,1.1994,82.0304,75.3403,326.7626,0.6085,2.15,1.62,0.0004,6,26.5,2036,2110,13,4.2E-06,16.77,0.017,-6.05,-6.64,0
2011 CL50,Aten Asteroid,57800,0.8861,0.1446,0.1884,293.2641,12.431,274.7185,0.758,1.01,0.83,0.0019,7,27.6,2036,2111,68,4.7E-05,3.51,0.01,-5.95,-6.85,0
1994 GV,Apollo Asteroid,49456,2.0082,0.5183,0.468,154.0873,19.7517,8.4444,0.9673,3.05,2.85,0,11,27.5,2036,2115,53,0.00016,8.09,0.011,-5.14,-5.81,0
2014 HJ197,Apollo Asteroid,56772,1.0218,0.1716,0.838,255.5239,214.6439,84.5291,0.8465,1.2,1.03,0.0027,2,30.2,2036,2115,410,1.8E-05,4.51,0.003,-7.36,-7.9,0
2007 WW3,Amor Asteroid,54423,2.0726,0.4612,5.6434,7.1002,50.1986,0.3023,1.1168,3.03,2.98,0.1287,6,23.8,2037,2037,1,1.6E-10,10.28,0.06,-8.95,-8.95,0
2009 WQ52,Apollo Asteroid,57800,2.5608,0.6596,5.7282,49.3411,61.2165,267.1915,0.8718,4.25,4.1,0.0073,7,28.2,2037,2037,1,3.3E-09,14.76,0.008,-9.57,-9.57,0
2014 GC49,Aten Asteroid,57800,0.7348,0.6441,6.4299,207.5284,193.2968,296.4451,0.2615,1.21,0.63,0.0004,3,28.6,2038,2038,1,2.3E-10,17.06,0.007,-10.84,-10.8,0
2004 RU109,Apollo Asteroid,57800,1.5324,0.4894,5.8493,250.5883,171.3946,172.2849,0.7825,2.28,1.9,0.0006,7,26.5,2038,2053,5,4.3E-07,12.93,0.017,-6.81,-7.14,0
2013 EV27,Apollo Asteroid,57800,1.9839,0.5693,4.2535,126.9688,340.4994,163.6463,0.8545,3.11,2.79,0.0018,4,27,2038,2070,4,2.5E-05,12.37,0.014,-5.19,-5.19,0
2008 GY21,Apollo Asteroid,57800,1.0733,0.379,1.8753,259.8888,197.5299,46.4231,0.6665,1.48,1.11,0.0014,5,27.6,2038,2105,31,2.5E-07,11.1,0.01,-7.9,-8.32,0
2011 WN69,Apollo Asteroid,55894,2.5251,0.781,6.0474,89.5239,243.2798,11.584,0.5529,4.5,4.01,0.0006,5,26.2,2038,2109,3,3.1E-07,23.03,0.019,-7.04,-7.27,0
2014 HN199,Apollo Asteroid,56773,2.2379,0.6582,2.939,268.7175,22.3471,344.65,0.765,3.71,3.35,0.0191,2,26.4,2038,2110,14,1.1E-08,18.04,0.017,-8.34,-8.73,0
2008 XU2,Apollo Asteroid,57800,2.4475,0.6212,2.9655,333.9431,62.4428,58.621,0.9271,3.97,3.83,0.0054,11,25.6,2039,2039,1,2.1E-07,9.93,0.026,-6.69,-6.69,0
2014 HE199,Apollo Asteroid,56777,2.394,0.6322,5.2585,125.08,24.8166,15.5828,0.8805,3.91,3.7,0.0131,2,25,2039,2039,1,2.4E-08,14.5,0.033,-7.24,-7.24,0
2016 RQ41,Apollo Asteroid,57644,2.0934,0.7047,10.041,341.1649,145.4057,333.2195,0.6182,3.57,3.03,0.1588,1,20,2039,2089,3,1.5E-09,13.11,0.33,-6.44,-6.63,0
2016 JN38,Apollo Asteroid,57512,1.9264,0.6824,4.4473,89.6141,42.0576,19.1375,0.6118,3.24,2.67,0.003,2,29.1,2039,2114,93,6.5E-06,19.51,0.005,-6.92,-7.8,0
2015 HZ182,Apollo Asteroid,57131,1.6743,0.3981,4.4279,302.8457,211.7652,22.7239,1.0077,2.34,2.17,0.0562,2,27,2039,2115,8,4.1E-09,14.48,0.013,-9.09,-9.28,0
2017 AT20,Apollo Asteroid,57757,1.0528,0.2481,4.1987,93.5653,270.4096,70.3316,0.7916,1.31,1.08,0.003,1,27.1,2039,2116,297,4.5E-06,7.71,0.013,-6.57,-7.12,0
2012 WQ3,Apollo Asteroid,56252,2.3725,0.7689,3.259,270.6903,52.4006,13.1976,0.5482,4.2,3.65,0.0021,5,25.4,2040,2040,1,1.9E-09,23.77,0.028,-8.3,-8.3,0
2012 UE,Apollo Asteroid,56217,1.913,0.577,1.1608,59.3805,28.1087,343.6425,0.8092,3.02,2.65,0.0005,3,28.4,2040,2058,6,4.4E-07,13.23,0.007,-7.78,-8.04,0
2007 TX22,Apollo Asteroid,54384,1.5918,0.4351,1.7696,46.0252,20.3432,341.1186,0.8991,2.28,2.01,0.0009,6,28.4,2040,2086,52,3.4E-05,8.87,0.007,-6.21,-7.02,0
2012 CU,Apollo Asteroid,57800,1.7455,0.5068,0.3103,268.0662,172.4963,83.1131,0.8609,2.63,2.31,0.0031,8,26,2040,2100,4,9.7E-07,10.94,0.021,-6.64,-7.05,0
2007 DC,Apollo Asteroid,54150,1.3516,0.3243,0.4076,278.0705,174.8853,30.1501,0.9132,1.79,1.57,0.0041,7,27.5,2040,2108,35,1.1E-05,6.71,0.011,-6.26,-6.87,0
2016 CK137,Apollo Asteroid,57427,1.1738,0.3467,0.7949,95.2649,314.7605,49.9975,0.7668,1.58,1.27,0.0007,4,27.4,2040,2116,84,0.00012,9.86,0.011,-5.24,-5.91,0
2014 HN197,Apollo Asteroid (Hazard),56772,1.646,0.4459,4.5965,155.2741,257.2965,137.1747,0.9121,2.38,2.11,0.0198,2,21,2041,2041,1,1.1E-10,8.92,0.21,-7.85,-7.85,0
2005 GQ33,Apollo Asteroid,53467,2.2721,0.7215,1.5599,37.4107,72.6348,14.6357,0.6328,3.91,3.42,0.0193,6,23.7,2041,2099,14,8.5E-09,20.8,0.063,-7.18,-7.96,0
2008 EV84,Apollo Asteroid,54537,2.531,0.6098,13.0136,205.6842,350.3665,355.0858,0.9875,4.07,4.03,0.0257,5,25.3,2041,2106,4,5.6E-07,12.94,0.029,-6.1,-6.1,0
2014 HY198,Apollo Asteroid,56776,1.0964,0.1982,2.4974,74.8088,227.2385,298.6589,0.8791,1.31,1.15,0.0017,2,29.6,2041,2115,234,4.5E-05,6.52,0.004,-6.84,-7.41,0
2001 VM5,Apollo Asteroid,52227,2.4149,0.5862,5.8521,168.6077,231.7459,2.7123,0.9994,3.83,3.75,0.0141,7,24.9,2042,2042,1,1.4E-08,9.18,0.036,-7.59,-7.59,0
2007 VH189,Apollo Asteroid,54420,2.6138,0.7227,5.8765,250.1359,75.5157,14.3086,0.7247,4.5,4.23,0.0024,7,23.4,2042,2045,3,2E-08,18.31,0.073,-6.45,-6.64,0
1995 CS,Apollo Asteroid,49754,1.9426,0.7754,2.6037,252.2091,135.6762,17.5809,0.4363,3.45,2.71,0.0014,11,25.5,2042,2073,9,7.1E-06,25.43,0.028,-4.73,-4.75,0
2015 KW157,Amor Asteroid,57164,3.609,0.6781,3.7065,162.2599,52.778,3.455,1.1618,6.06,6.86,0.1564,2,26,2042,2096,6,6.8E-09,9.36,0.021,-8.69,-8.97,0
2010 VW194,Apollo Asteroid,57800,1.8226,0.4666,2.0196,339.5656,50.8582,202.2467,0.9722,2.67,2.46,0.0009,14,26.5,2042,2109,27,6.8E-05,7.31,0.017,-5.15,-5.68,0
2015 YJ,Apollo Asteroid,57800,1.2633,0.5229,0.1227,77.8036,266.0629,336.3573,0.6027,1.92,1.42,0.0002,6,28.3,2042,2115,52,0.0018,16.35,0.007,-4.13,-4.36,0
2012 BY1,Apollo Asteroid,57800,2.117,0.673,0.5233,237.83,320.7848,218.0601,0.6922,3.54,3.08,0.0026,7,25.8,2043,2074,6,3.5E-06,18.2,0.024,-5.48,-5.59,0
2013 HT14,Apollo Asteroid,57800,2.0944,0.719,5.7921,87.7817,30.7376,110.2698,0.5885,3.6,3.03,0.0014,6,26.3,2043,2077,4,2.3E-06,20.53,0.019,-6.05,-6.22,0
2001 GP2,Apollo Asteroid,57800,1.0378,0.0739,1.2794,111.32,196.8254,259.4146,0.9611,1.11,1.06,0.002,15,26.9,2043,2109,29,0.00012,2.58,0.014,-5.08,-5.52,0
2006 SC,Apollo Asteroid,57800,1.2029,0.5806,30.2584,355.5275,152.9995,218.0865,0.5045,1.9,1.32,0.4656,54,25.2,2043,2109,8,1.7E-06,12.21,0.031,-5.97,-6.53,0
2016 DK1,Apollo Asteroid,57800,1.3629,0.3309,0.7683,125.6981,336.3852,248.1662,0.912,1.81,1.59,0.0018,19,27.3,2043,2115,33,0.00016,6.87,0.012,-5,-5.47,0
2015 KH158,Apollo Asteroid,57166,2.0234,0.5236,4.9567,42.6642,251.8953,344.5055,0.9638,3.08,2.88,0.0155,2,26,2043,2115,21,7E-08,14.5,0.021,-7.61,-8.03,0
2017 CH1,Apollo Asteroid (Hazard),57782,2.3262,0.5777,28.0417,153.5285,74.5037,342.3367,0.9823,3.67,3.55,0.0052,3,17.9,2044,2044,1,2.3E-10,18.19,0.9,-5.76,-5.76,0
2013 RO30,Apollo Asteroid,56541,1.9246,0.489,8.3346,156.499,162.4069,7.5766,0.9836,2.87,2.67,0.002,3,28.4,2044,2093,8,9.5E-05,9.26,0.007,-5.91,-6.03,0
2003 WT153,Aten Asteroid,57800,0.8937,0.1776,0.3709,148.6327,55.8541,121.9902,0.7349,1.05,0.84,0.0017,8,28.1,2044,2103,39,1.7E-05,4.41,0.008,-6.57,-6.77,0
2011 AM37,Apollo Asteroid,57800,1.1003,0.147,2.6253,129.2197,291.2602,140.4439,0.9385,1.26,1.15,0.0008,5,29.7,2044,2114,120,0.001,3.65,0.004,-5.43,-5.83,0
2011 AY22,Apollo Asteroid,55573,2.1278,0.6017,0.4639,218.2329,307.689,347.818,0.8475,3.41,3.1,0.0018,5,27.1,2044,2115,31,2.6E-05,12.98,0.013,-5.78,-6.5,0
2006 HX57,Apollo Asteroid,57800,1.808,0.495,0.197,160.1691,111.1218,142.5463,0.9131,2.7,2.43,0.0015,11,25.2,2045,2065,2,3.2E-06,10.53,0.031,-5.62,-5.63,0
2008 PK9,Apollo Asteroid,54687,1.6378,0.7248,27.4088,108.0262,318.4869,335.6835,0.4508,2.82,2.1,0.0052,6,23.2,2045,2066,12,7.8E-07,26.44,0.078,-4.7,-5.1,0
2017 BG92,Apollo Asteroid,57800,1.2513,0.2574,0.3499,98.5384,337.0928,45.2712,0.9292,1.57,1.4,0.0037,3,28.6,2045,2110,25,1.9E-05,5.31,0.006,-6.68,-7.06,0
2015 KG158,Apollo Asteroid,57800,1.1384,0.2768,2.2322,97.4459,54.1196,213.4406,0.8232,1.45,1.21,0.0006,5,28.3,2045,2111,38,0.00022,7.69,0.007,-5.42,-5.48,0
2008 KN11,Apollo Asteroid,57800,1.7091,0.5289,5.2716,246.0622,89.3713,294.2356,0.8051,2.61,2.23,0.0005,23,23.3,2046,2046,1,1.6E-08,13.83,0.075,-6.7,-6.7,0
2003 DW10,Apollo Asteroid,57800,1.4462,0.3609,2.1944,221.067,342.1775,350.4099,0.9243,1.97,1.74,0.0005,12,26.1,2046,2058,2,1.1E-07,7.83,0.02,-7.45,-7.61,0
2011 DU9,Apollo Asteroid,57800,1.9367,0.514,3.4106,328.1477,155.2295,87.4298,0.9413,2.93,2.7,0.0008,12,26.7,2046,2059,4,0.00022,8.77,0.016,-4.35,-4.36,0
2010 VN1,Apollo Asteroid,57800,1.6311,0.4659,3.3604,307.4408,40.6034,25.1428,0.8711,2.39,2.08,0.0008,11,28.3,2046,2060,4,2.1E-06,10.99,0.007,-7.18,-7.33,0
2009 HW67,Apollo Asteroid,54949,2.0536,0.7515,2.3542,259.7908,216.392,16.7087,0.5103,3.6,2.94,0.0012,7,26.1,2046,2079,5,2.1E-06,22.63,0.02,-5.93,-6.23,0
2009 VT1,Apollo Asteroid,57800,1.9843,0.5036,0.2682,178.4854,216.9325,219.2259,0.9851,2.98,2.8,0.0007,6,29.6,2046,2081,3,2.6E-06,6.97,0.004,-7.76,-7.85,0
2012 MF7,Apollo Asteroid,57800,1.474,0.3831,1.9672,127.4547,90.9713,239.7145,0.9093,2.04,1.79,0.0006,5,26.8,2046,2092,9,0.00022,8.7,0.015,-4.43,-4.47,0
2008 UA202,Apollo Asteroid,57800,1.0332,0.0686,0.2637,300.9219,21.0817,31.5871,0.9623,1.1,1.05,0.0002,6,29.4,2046,2105,63,7.6E-05,2.3,0.004,-6.58,-7.35,0
2015 VO142,Apollo Asteroid,57800,1.0747,0.1259,0.2842,20.4704,95.2396,354.6471,0.9395,1.21,1.11,0.0028,12,29,2046,2110,15,3.7E-06,2.82,0.005,-7.72,-8.43,0
2008 DB,Apollo Asteroid,57800,1.0546,0.233,4.2232,274.9974,141.5565,176.7651,0.8089,1.3,1.08,0.0019,14,25.7,2046,2113,37,1.8E-05,6.97,0.025,-5.31,-6,0
2012 QD8,Apollo Asteroid,57800,1.9117,0.6981,5.5801,86.9459,349.4462,226.394,0.5772,3.25,2.64,0.0034,13,23.1,2047,2050,2,4.4E-06,20.76,0.081,-3.99,-4.03,0
2013 WM,Apollo Asteroid,56626,2.0789,0.916,4.1529,40.9028,239.4077,15.4807,0.1747,3.98,3,0.0036,7,23.9,2047,2105,2,5.7E-07,35.41,0.055,-5.18,-5.37,0
2009 TD17,Apollo Asteroid,57800,1.1268,0.22,0.0784,83.1252,218.0261,104.4694,0.8789,1.37,1.2,0.0002,5,27.7,2047,2113,56,2.4E-05,6.57,0.01,-6.12,-6.9,0
2005 VN5,Aten Asteroid,57800,0.9454,0.2328,2.0625,116.1748,48.2254,7.0419,0.7253,1.17,0.92,0.0012,9,27,2047,2114,29,5.7E-05,6.58,0.014,-5.41,-5.87,0
2008 ST,Aten Asteroid,57800,0.964,0.1258,1.9078,291.2152,189.4838,207.0255,0.8427,1.09,0.95,0.0017,12,27.1,2047,2114,25,7E-05,3.24,0.013,-5.55,-5.83,0
2014 WZ365,Aten Asteroid,57800,0.7887,0.4281,1.3401,321.3327,261.7681,290.863,0.451,1.13,0.7,0.001,4,25.7,2047,2114,7,7.8E-08,11,0.025,-7.45,-7.78,0
2010 UH,Apollo Asteroid,57800,1.362,0.3075,0.6301,40.3689,295.1619,20.4864,0.9432,1.78,1.59,0.0011,6,27.1,2047,2115,45,6.7E-05,6.74,0.013,-5.59,-5.72,0
2017 BO32,Apollo Asteroid,57785,1.1431,0.2386,11.2757,73.8838,317.4055,70.3439,0.8704,1.42,1.22,0.0026,4,24.6,2048,2094,56,1.1E-05,8.76,0.041,-4.96,-5.65,0
2014 WA,Apollo Asteroid,57800,2.0443,0.5385,4.8293,31.8379,53.9377,269.0474,0.9435,3.15,2.92,0.0033,3,28.2,2049,2049,1,1.4E-06,9.55,0.008,-7.28,-7.28,0
2002 CB19,Apollo Asteroid,57800,1.2835,0.452,17.1053,88.645,318.1065,159.6084,0.7034,1.86,1.45,0.0012,11,24.8,2049,2049,1,1.9E-08,15.73,0.038,-7.31,-7.31,0
